"Time","Handle/0/X","Handle/0/Y","Shoulder/0/X","Shoulder/0/Y","Seat/0/X","Seat/0/Y"
"1.852","113.5421","-92.04623","308.4894","89.01431","280.9166","-157.2179"
"1.86","108.5492","-92.04199","306.4893","90.00696","279.9172","-157.2222"
"1.869","105.5461","-91.0437","303.4865","90.01077","279.9167","-157.2234"
"1.877","100.5444","-91.02765","302.4879","91.00021","278.9163","-157.2246"
"1.885","96.54352","-90.02014","295.4828","90.00635","276.9173","-157.2326"
"1.894","92.5437","-89.02179","294.4817","91.00531","275.9179","-157.2414"
"1.902","88.54468","-88.02982","292.4797","91.01566","274.9178","-157.2499"
"1.91","84.54706","-87.0412","289.4807","92.00482","273.9172","-157.2565"
"1.919","80.5495","-86.05676","286.4804","92.00098","271.9185","-157.271"
"1.927","75.55096","-86.04535","283.4781","92.00235","270.9192","-157.2816"
"1.935","71.55151","-85.03827","280.4761","92.00861","269.9191","-157.2893"
"1.944","67.5528","-84.03455","277.4747","92.01749","267.9201","-157.3003"
"1.952","63.55731","-83.03992","273.4777","92.02432","266.9209","-157.3135"
"1.96","60.55511","-82.04279","271.4796","93.00934","265.9203","-157.3242"
"1.969","56.55322","-81.05103","268.4806","92.99829","263.9215","-157.3394"
"1.977","51.55212","-81.0433","265.481","93.98865","262.9217","-157.3521"
"1.985","48.55206","-80.04382","262.4813","93.98233","260.9228","-157.3688"
"1.994","43.55042","-80.03555","259.4817","93.9762","259.9225","-157.383"
"2.002","39.55402","-79.03943","256.4833","93.97131","258.921","-157.3953"
"2.01","35.55396","-79.03009","253.4844","93.96622","256.9213","-157.4127"
"2.019","31.55548","-78.02643","250.4835","93.96323","254.9221","-157.4341"
"2.027","28.55664","-77.02795","247.4816","93.9624","253.9209","-157.4523"
"2.035","24.55688","-77.0213","244.4777","93.95984","251.9209","-157.4738"
"2.044","19.55896","-77.01993","241.4782","93.95639","249.9223","-157.4982"
"2.052","16.56274","-76.02777","237.4813","93.94708","248.9221","-157.5226"
"2.06","12.56464","-76.02963","235.4802","93.94196","248.9189","-157.5374"
"2.069","9.567871","-75.04309","232.4788","93.93628","246.9166","-157.5556"
"2.077","6.56842","-75.04639","229.4765","93.9288","244.9147","-157.5743"
"2.085","2.569702","-75.04877","225.4791","93.9162","242.9139","-157.5952"
"2.094","-3.430969","-76.05078","222.4789","92.92395","240.9137","-157.6187"
"2.102","-9.427185","-77.05124","219.4789","92.93024","238.9144","-157.6456"
"2.11","-10.42883","-76.05417","216.4802","92.93408","237.9119","-157.6702"
"2.119","-14.42841","-76.05237","213.4822","92.93295","235.9108","-157.6974"
"2.127","-23.42389","-76.05334","210.4847","92.927","233.9108","-157.727"
"2.135","-25.42462","-75.05441","208.4828","92.92023","229.911","-158.7042"
"2.144","-29.4259","-75.04791","205.4838","92.90851","227.9118","-158.6838"
"2.152","-31.42822","-74.04156","202.4837","91.90894","225.9125","-158.6692"
"2.16","-33.42877","-72.04462","199.4855","91.90482","223.9136","-158.6564"
"2.169","-38.43054","-71.047","197.4849","91.89832","222.9138","-158.6421"
"2.177","-41.43237","-70.04852","193.488","90.8985","221.9131","-158.6247"
"2.186","-46.43195","-70.05032","191.4887","90.89505","218.9144","-158.616"
"2.194","-50.43347","-70.04648","188.4907","89.89777","217.9143","-158.6036"
"2.202","-53.43701","-69.04593","186.4933","89.89752","216.9133","-158.59"
"2.211","-56.43933","-68.04633","184.4943","89.89407","214.9131","-158.5782"
"2.219","-59.43939","-67.04535","181.4918","89.88501","212.9133","-158.5706"
"2.227","-62.43988","-66.04077","179.4877","89.87421","211.912","-158.5601"
"2.236","-63.44305","-64.04138","177.487","89.85736","208.9125","-158.557"
"2.244","-69.44208","-64.04047","175.4941","89.83679","206.9133","-158.5554"
"2.252","-70.44116","-63.03177","174.4886","89.82083","205.9128","-158.5536"
"2.261","-70.44067","-61.03391","172.4929","89.7998","203.9136","-158.5559"
"2.269","-70.44342","-60.03418","171.487","89.78876","202.9131","-158.5603"
"2.277","-66.44318","-56.02914","169.4937","89.77374","201.9126","-158.5642"
"2.286","-66.4444","-55.0206","168.4968","89.76953","199.9135","-158.5745"
"2.294","-66.44183","-53.0188","167.4999","89.76727","198.9147","-158.5851"
"2.302","-66.46533","-52.00226","166.5074","89.77383","197.916","-158.5972"
"2.311","-67.46295","-49.99609","166.4997","89.78751","197.9152","-158.6062"
"2.319","-68.45123","-48.02426","165.5068","90.77304","196.916","-158.6191"
"2.327","-69.45581","-45.04257","165.5013","90.77069","196.9155","-158.6281"
"2.336","-71.43622","-43.06384","164.5117","90.76944","196.9147","-158.6368"
"2.344","-71.4433","-41.06665","165.5038","91.7579","196.9139","-158.6461"
"2.352","-71.45325","-39.05692","165.4962","91.75128","196.9133","-158.6537"
"2.361","-72.44226","-37.04453","165.4932","91.75208","196.913","-158.6615"
"2.369","-72.43738","-34.06607","165.4957","91.75507","197.9119","-158.667"
"2.377","-72.43262","-32.06998","166.4933","92.74689","197.9117","-158.675"
"2.386","-72.41895","-29.09091","167.4849","92.74579","198.911","-158.6797"
"2.394","-72.39154","-27.09064","167.4935","92.74496","199.9102","-158.6836"
"2.402","-71.39362","-25.08362","168.4998","92.75006","200.9105","-158.6855"
"2.411","-70.40668","-23.08847","170.4937","93.74609","202.9099","-158.6818"
"2.419","-69.41595","-21.11041","171.4917","93.74683","204.9087","-158.6722"
"2.427","-68.42096","-20.09491","172.4993","93.75543","205.9083","-158.6635"
"2.436","-66.41815","-18.08844","174.5061","94.74896","207.908","-158.651"
"2.444","-64.42102","-17.07556","176.5116","94.75208","209.9078","-158.637"
"2.452","-63.41199","-16.0773","178.5148","94.76511","212.9052","-158.6146"
"2.461","-60.41479","-15.07022","180.5234","95.76135","214.9034","-158.5925"
"2.469","-57.41534","-14.06345","183.5214","95.77295","216.9031","-158.5682"
"2.477","-54.41205","-13.06281","186.5181","96.77466","219.8999","-158.5397"
"2.486","-50.41125","-12.06863","189.5175","97.76822","221.9011","-158.5118"
"2.494","-47.40991","-12.06683","192.5167","97.76593","225.9008","-157.5439"
"2.502","-43.4079","-12.05899","195.5166","97.77481","228.9008","-157.5731"
"2.511","-38.40674","-12.05908","199.5108","98.77759","231.9016","-157.6013"
"2.519","-33.4043","-13.04803","203.504","99.77625","234.9019","-157.6256"
"2.528","-27.40308","-13.05371","207.4978","99.78262","237.9033","-157.6479"
"2.536","-22.40131","-15.05154","211.4982","100.783","241.9005","-157.6614"
"2.544","-16.4054","-16.03897","215.4994","100.7923","244.9007","-157.6758"
"2.553","-12.40521","-16.05368","219.5059","101.7881","248.8966","-157.6775"
"2.561","-6.40509","-17.04092","223.5126","101.7963","251.8942","-157.6812"
"2.569","-2.403259","-17.04553","228.5137","102.7893","254.8944","-157.6808"
"2.578","-1.402527","-18.04138","233.5071","102.7968","257.8954","-157.6798"
"2.586","-1.397278","-19.04053","237.5061","103.7856","260.8975","-157.6792"
"2.594","-0.3969727","-19.04144","241.5096","103.7857","263.8998","-157.6742"
"2.603","11.604","-17.05005","245.5121","103.7971","266.9005","-157.6617"
"2.611","13.60583","-18.04755","249.5176","104.7914","269.8965","-157.6444"
"2.619","23.60364","-16.04498","253.5226","104.7991","271.8964","-157.6247"
"2.628","24.60236","-16.04102","258.5237","105.797","273.9001","-157.6052"
"2.636","33.60358","-15.0267","262.5272","105.804","275.9041","-157.5834"
"2.644","37.60394","-14.04449","267.5266","106.8026","277.9075","-157.5586"
"2.653","38.60382","-14.0304","271.5233","106.8096","279.9091","-157.5301"
"2.661","49.60382","-13.02267","275.5222","107.8059","281.9051","-157.4956"
"2.669","49.61737","-13.00647","279.5202","107.8051","283.9013","-156.5315"
"2.678","61.61469","-11.99796","283.5187","107.8082","284.8984","-156.5636"
"2.686","68.6142","-12.00781","287.5208","107.8136","285.8948","-156.5909"
"2.694","74.61328","-11.01517","291.5219","107.8191","286.8885","-156.6138"
"2.703","75.61816","-11.01517","295.5203","107.8219","286.8905","-156.6379"
"2.711","76.62323","-11.00925","299.5169","107.8184","287.8885","-156.6571"
